f00F,f00M,f05F,f05M,f13F,f13M,f25F,f25M,facF,facM,rotulo
84.00,86.00,27.00,28.00,66.00,63.00,136.00,10.00,224.00,8.00,0
80.00,76.00,13.00,12.00,17.00,16.00,48.00,12.00,52.00,15.00,0
11.00,3.00,3.00,3.00,4.00,1.00,5.00,3.00,17.00,0.00,0
24.00,29.00,16.00,15.00,10.00,13.00,37.00,2.00,55.00,4.00,0
26.00,30.00,13.00,12.00,7.00,5.00,24.00,2.00,42.00,3.00,0
15.00,21.00,14.00,17.00,12.00,9.00,21.00,8.00,36.00,5.00,0
60.00,64.00,29.00,28.00,18.00,23.00,33.00,5.00,84.00,7.00,0
58.00,59.00,15.00,15.00,12.00,14.00,41.00,14.00,42.00,11.00,0
56.00,62.00,15.00,10.00,26.00,26.00,44.00,11.00,54.00,10.00,0
37.00,43.00,9.00,10.00,11.00,16.00,24.00,0.00,37.00,3.00,0
86.00,85.00,25.00,20.00,33.00,28.00,69.00,9.00,122.00,6.00,0
71.00,69.00,19.00,14.00,30.00,27.00,27.00,5.00,85.00,5.00,0
52.00,59.00,9.00,15.00,19.00,25.00,23.00,5.00,54.00,5.00,0
132.00,136.00,53.00,53.00,53.00,60.00,146.00,26.00,308.00,26.00,0
42.00,51.00,45.00,42.00,18.00,14.00,45.00,8.00,117.00,12.00,0
12.00,8.00,5.00,2.00,2.00,3.00,5.00,0.00,15.00,2.00,0
245.00,254.00,96.00,97.00,104.00,100.00,384.00,106.00,682.00,103.00,0
13.00,14.00,6.00,3.00,5.00,7.00,8.00,3.00,14.00,2.00,0
19.00,20.00,4.00,9.00,6.00,12.00,38.00,2.00,45.00,2.00,0
35.00,43.00,10.00,11.00,17.00,18.00,56.00,9.00,65.00,10.00,0
173.00,173.00,54.00,60.00,64.00,59.00,57.00,15.00,175.00,16.00,0
307.00,316.00,76.00,74.00,85.00,79.00,305.00,26.00,445.00,24.00,0
23.00,20.00,7.00,4.00,7.00,7.00,17.00,1.00,36.00,5.00,0
247.00,246.00,72.00,72.00,103.00,108.00,241.00,12.00,405.00,13.00,0
60.00,55.00,11.00,17.00,13.00,16.00,77.00,9.00,82.00,7.00,0
94.00,99.00,64.00,68.00,42.00,46.00,231.00,40.00,253.00,43.00,0
100.00,99.00,26.00,31.00,57.00,54.00,87.00,27.00,184.00,27.00,0
417.00,417.00,206.00,207.00,187.00,183.00,714.00,132.00,815.00,132.00,0
40.00,42.00,20.00,19.00,19.00,17.00,21.00,6.00,40.00,4.00,0
259.00,259.00,91.00,91.00,97.00,97.00,224.00,31.00,312.00,29.00,0
29.00,40.00,4.00,11.00,7.00,14.00,15.00,4.00,35.00,8.00,0
33.00,31.00,12.00,12.00,8.00,9.00,28.00,6.00,54.00,8.00,0
38.00,37.00,9.00,12.00,16.00,11.00,13.00,2.00,34.00,6.00,0
35.00,30.00,21.00,25.00,14.00,17.00,51.00,10.00,80.00,11.00,0
3365.00,3369.00,523.00,523.00,1294.00,1292.00,2837.00,368.00,4538.00,370.00,0
86.00,88.00,32.00,35.00,20.00,16.00,58.00,5.00,104.00,2.00,0
40.00,38.00,17.00,19.00,11.00,11.00,29.00,3.00,71.00,5.00,0
63.00,63.00,20.00,16.00,13.00,17.00,56.00,8.00,89.00,7.00,0
57.00,54.00,27.00,26.00,26.00,21.00,64.00,17.00,87.00,14.00,0
88.00,97.00,31.00,31.00,22.00,21.00,77.00,2.00,90.00,5.00,0
32.00,36.00,17.00,14.00,9.00,7.00,49.00,6.00,73.00,3.00,0
252.00,246.00,46.00,50.00,118.00,122.00,199.00,34.00,214.00,32.00,0
585.00,591.00,113.00,110.00,131.00,136.00,666.00,125.00,974.00,125.00,0
101.00,98.00,45.00,44.00,34.00,40.00,84.00,25.00,158.00,26.00,0
48.00,51.00,15.00,15.00,16.00,19.00,58.00,10.00,89.00,10.00,0
